name,rating,genre,year,score,budget,gross,runtime
Buddy Buddy,R,Comedy,1981,6.5,10000000.0,7258543.0,96.0
Bustin' Loose,R,Comedy,1981,6.1,11000000.0,31261269.0,94.0
Modern Romance,R,Comedy,1981,7.0,,2863642.0,93.0
Heartbeeps,PG,Comedy,1981,4.3,12000000.0,2154696.0,78.0
Back Roads,R,Adventure,1981,5.6,,11809387.0,94.0
Take This Job and Shove It,PG,Comedy,1981,5.0,3500000.0,17569027.0,100.0
Raggedy Man,R,Drama,1981,6.8,,1976198.0,94.0
Whose Life Is It Anyway?,R,Comedy,1981,7.3,13000000.0,8206145.0,119.0
Inchon,PG,Drama,1981,2.7,46000000.0,5200986.0,140.0
All Night Long,R,Comedy,1981,5.5,14000000.0,4454295.0,87.0
The Pursuit of D.B. Cooper,PG,Adventure,1981,5.6,12000000.0,3702028.0,100.0
Rollover,R,Drama,1981,5.4,16000000.0,10851261.0,116.0
Only When I Laugh,R,Comedy,1981,6.5,,25524778.0,120.0
Honky Tonk Freeway,PG,Action,1981,5.2,24000000.0,2004742.0,107.0
Paternity,PG,Comedy,1981,4.9,,18838812.0,94.0
King of the Mountain,PG,Action,1981,5.5,2000000.0,1791147.0,90.0
Scream,R,Horror,1981,2.9,,,82.0
The Devil and Max Devlin,PG,Comedy,1981,5.0,,16000000.0,96.0
The Amateur,R,Crime,1981,5.8,,6892098.0,112.0
Longshot,TV-PG,Comedy,1981,5.1,,,100.0
Comin' at Ya!,R,Western,1981,5.1,,12000000.0,91.0
Le Pont du Nord,Not Rated,Adventure,1981,6.9,,17110.0,129.0
Silence of the North,PG,Drama,1981,6.3,,1622898.0,94.0
Fast Times at Ridgemont High,R,Comedy,1982,7.2,4500000.0,27092880.0,90.0
Blade Runner,R,Action,1982,8.1,28000000.0,41676878.0,117.0
The Thing,R,Horror,1982,8.1,15000000.0,19632053.0,109.0
Conan the Barbarian,R,Action,1982,6.9,20000000.0,68851475.0,129.0
E.T. the Extra-Terrestrial,PG,Family,1982,7.8,10500000.0,792910554.0,115.0
First Blood,R,Action,1982,7.7,15000000.0,125212904.0,93.0
An Officer and a Gentleman,R,Drama,1982,7.0,7500000.0,129795554.0,124.0
Grease 2,PG,Comedy,1982,4.4,13200000.0,15171476.0,115.0
Annie,PG,Comedy,1982,6.6,50000000.0,57063861.0,127.0
Poltergeist,PG,Horror,1982,7.3,10700000.0,77142388.0,114.0
48 Hrs.,R,Action,1982,6.9,12000000.0,78868508.0,96.0
Star Trek II: The Wrath of Khan,PG,Action,1982,7.7,11200000.0,78912963.0,113.0
Paradise,R,Adventure,1982,4.9,,5588800.0,100.0
The Last American Virgin,R,Comedy,1982,6.3,,5829781.0,92.0
Sophie's Choice,R,Drama,1982,7.6,12000000.0,30036000.0,150.0
Gandhi,PG,Biography,1982,8.0,22000000.0,52767889.0,191.0
Tootsie,PG,Comedy,1982,7.4,21000000.0,177200000.0,116.0
Tron,PG,Action,1982,6.8,17000000.0,33000525.0,96.0
The Secret of NIMH,G,Animation,1982,7.6,7000000.0,14665733.0,82.0
The King of Comedy,PG,Comedy,1982,7.8,20000000.0,2536242.0,109.0
Rocky III,PG,Drama,1982,6.8,17000000.0,125052686.0,99.0
The Beastmaster,PG,Action,1982,6.2,8000000.0,14056528.0,118.0
Creepshow,R,Comedy,1982,6.9,8000000.0,21028755.0,120.0
The Man from Snowy River,PG,Adventure,1982,7.3,3500000.0,20659423.0,102.0
Pink Floyd: The Wall,R,Drama,1982,8.0,12000000.0,22265763.0,95.0
Cat People,R,Fantasy,1982,6.2,18000000.0,7000000.0,118.0
Fanny and Alexander,R,Drama,1982,8.1,6000000.0,6795771.0,188.0
Friday the 13th Part III,R,Horror,1982,5.7,2300000.0,36690067.0,95.0
Firefox,PG,Action,1982,6.0,18000000.0,46708276.0,136.0
