title,Adjusted Budget,Adjusted Domestic,Adjusted International,Adjusted Worldwide
Get Over It,32120000.0,16901637.44,12152896.92,29054534.36
Head Over Heels,20440000.0,15219726.2,3945725.92,19165452.12
Texas Rangers,55480000.0,910126.0399999999,204934.36,1115060.4
Rock Star,83220000.0,24832091.72,3395759.98,28227851.7
Moulin Rouge!,73000000.0,83784446.22,186210630.88,269995077.09999996
One Night at McCool's,26280000.0,9184382.58,10639768.98,19824151.56
Joy Ride,33580000.0,32083381.74,21415161.74,53498543.48
My First Mister,7665000.0,830392.52,38314.78,868707.2999999999
The Mummy Returns,143080000.0,294948886.09999996,352241233.74,647190119.84
The Wedding Planner,51100000.0,88185249.75999999,50118402.58,138303652.34
Jason X,16060000.0,19157470.3,5776237.42,24933707.72
Amélie,14600000.0,48509228.54,205420894.78,253930123.32
A.I. Artificial Intelligence,146000000.0,114780365.94,229672399.98,344452765.92
Hannibal,127020000.0,241034711.28,272436000.0,513470711.28
Pearl Harbor,204400000.0,289872128.84,365990450.86,655862579.6999999
Enemy at the Gates,99280000.0,75046566.67999999,66538787.519999996,141585354.2
Soul Survivors,24820000.0,4542855.7,1733890.16,6276745.859999999
Original Sin,61320000.0,24139962.66,27547424.54,51687387.199999996
Bandits,109500000.0,60699705.86,38042872.519999996,98742578.38
Blow,77380000.0,77366531.5,44225620.66,121592152.16
The Glass House,43800000.0,26499378.14,7985251.0,34484629.14
Angel Eyes,77380000.0,35294358.28,8090426.4799999995,43384784.76
The Score,99280000.0,103817258.06,62990886.78,166808144.84
Spy Kids,51100000.0,164569741.46,51414161.339999996,215983902.79999998
Formula 51,39420000.0,7597850.22,11209293.08,18807143.3
Ghosts of Mars,40880000.0,12716074.4,7739740.319999999,20455814.72
The Others,24820000.0,140923123.02,165599551.0,306522674.02
Down to Earth,71540000.0,93712292.92,10220000.0,103932292.92
The Fast and the Furious,55480000.0,211019530.5,91616369.48,302635899.98
3000 Miles to Graceland,90520000.0,22994940.14,4336515.36,27331455.5
Novocaine,11680000.0,2973555.7199999997,726627.4,3700183.12
Summer Catch,49640000.0,28840187.38,27585.239999999998,28867772.62
Josie and the Pussycats,56940000.0,20835681.9,868700.0,21704381.9
The Mexican,83220000.0,97593748.17999999,118260000.0,215853748.18
The Tailor of Panama,30660000.0,20045423.32,20846931.2,40892354.519999996
Brotherhood of the Wolf,42340000.0,16439740.16,86859499.67999999,103299239.84
The Pledge,51100000.0,28810309.939999998,14141854.92,42952164.86
Captain Corelli's Mandolin,83220000.0,37294086.699999996,53390740.0,90684826.7
Cats & Dogs,87600000.0,136342851.9,156660886.42,293003738.32
Saving Silverman,32120000.0,28326963.8,9759626.959999999,38086590.76
Say It Isn't So,36500000.0,8059773.78,9928000.0,17987773.78
Dr. Dolittle 2,102200000.0,164911232.54,92201109.7,257112342.23999998
Ocean's Eleven,124100000.0,267789039.0,390258000.0,658047039.0
Harry Potter and the Sorcerer's Stone,182500000.0,464407925.2,963599988.3199999,1428007914.98
Exit Wounds,73000000.0,75567554.53999999,41172000.0,116739554.53999999
Valentine,42340000.0,29760838.56,23798000.0,53558838.56
Bridget Jones's Diary,36500000.0,104453403.42,307164097.28,411617500.7
Swordfish,148920000.0,101868534.74,112868868.24,214737402.98
Someone Like You,33580000.0,39920877.82,16566434.58,56487312.4
The Forsaken,21900000.0,10641138.459999999,2067944.0,12709082.459999999
